"AAU,gene:lpg4092",lpg4092
"AAU26503,gene:lpg0406",lpg0406
"AAU26504,gene:lpg0407",lpg0407
"AAU26505,gene:lpg0408",lpg0408
"AAU26506,gene:lpg0409",lpg0409
"AAU26507,gene:lpg0410",lpg0410
"AAU26508,gene:lpg0411",lpg0411
"AAU26509,gene:lpg0412",lpg0412
"AAU26510,gene:lpg0413",lpg0413
"AAU26511,gene:lpg0414",lpg0414
"AAU26512,gene:lpg0415",lpg0415
"AAU26513,gene:lpg0416",lpg0416
"AAU26514,gene:lpg0417",lpg0417
"AAU26515,gene:lpg0418",lpg0418
"AAU26516,gene:lpg0419",lpg0419
"AAU26517,gene:lpg0420",lpg0420
"AAU26518,gene:lpg0421",lpg0421
"AAU26519,gene:lpg0422",lpg0422
"AAU26520,gene:lpg0423",lpg0423
"AAU26521,gene:lpg0424",lpg0424
"AAU26522,gene:lpg0425",lpg0425
"AAU26523,gene:lpg0426",lpg0426
"AAU26524,gene:lpg0427",lpg0427
"AAU26525,gene:lpg0428",lpg0428
"AAU26526,gene:lpg0429",lpg0429
"AAU26527,gene:lpg0430",lpg0430
"AAU26528,gene:lpg0431",lpg0431
"AAU26529,gene:lpg0432",lpg0432
"AAU26530,gene:lpg0433",lpg0433
"AAU26531,gene:lpg0434",lpg0434
"AAU26532,gene:lpg0435",lpg0435
"AAU26533,gene:lpg0436",lpg0436
"AAU26534,gene:lpg0437",lpg0437
"AAU26535,gene:lpg0438",lpg0438
"AAU26536,gene:lpg0439",lpg0439
"AAU26537,gene:lpg0440",lpg0440
"AAU26538,gene:lpg0441",lpg0441
"AAU26539,gene:lpg0442",lpg0442
"AAU26540,gene:lpg0443",lpg0443
"AAU26541,gene:lpg0444",lpg0444
"AAU26542,gene:lpg0445",lpg0445
"AAU26543,gene:lpg0446",lpg0446
"AAU26544,gene:lpg0447",lpg0447
"AAU26545,gene:lpg0448",lpg0448
"AAU26546,gene:lpg0449",lpg0449
"AAU26547,gene:lpg0450",lpg0450
"AAU26548,gene:lpg0451",lpg0451
"AAU26549,gene:lpg0452",lpg0452
"AAU26550,gene:lpg0453",lpg0453
"AAU26551,gene:lpg0454",lpg0454
"AAU26552,gene:lpg0455",lpg0455
"AAU26553,gene:lpg0456",lpg0456
"AAU26554,gene:lpg0457",lpg0457
"AAU26555,gene:lpg0458",lpg0458
"AAU26556,gene:lpg0459",lpg0459
"AAU26557,gene:lpg0460",lpg0460
"AAU26558,gene:lpg0461",lpg0461
"AAU26559,gene:lpg0462",lpg0462
"AAU26560,gene:lpg0463",lpg0463
"AAU26561,gene:lpg0464",lpg0464
"AAU26562,gene:lpg0465",lpg0465
